État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
LIQUIDE;ETHANOL 99% SURFIN;ÉTHANOL - C2H5OH;300;mL;labo;SGH02 SGH07 SGH08;300;;;;;;;;;;;;;
LIQUIDE;ETHANOL ABSOLU;ÉTHANOL - C2H5OH;12500;mL;3;SGH02 SGH07 SGH08;12500;;;;;;;;;;;;;
LIQUIDE;ETHANOL INDUSTRIEL;ÉTHANOL - C2H5OH;1000;mL;3;SGH02 SGH07 SGH08;1000;;;;;;;;;;;;;
LIQUIDE;ETHER DE PETROLE;ÉTHER DE PÉTROLE - C4H10O;3500;mL;3;SGH02 SGH08 SGH07 SGH09;3500;;;;;;;;;;;;;
LIQUIDE;ETHER ÉTHYLIQUE;;520;mL;3;SGH02 SGH07;520;;;;;;;;;;;;;
LIQUIDE;ETHYLAMINE;ÉTHYLAMINE - C2H5NH2;0;mL;;SGH02 SGH04 SGH07;;;;;;;;;;;;;;
LIQUIDE;ETHYLE ACETATE;ACÉTATE D'ETHYLE;1100;mL;3;SGH02 SGH07;1100;;;;;;;;;;;;;
LIQUIDE;ETHYLE ETHANOATE ;ACÉTATE D'ETHYLE;1250;mL;3;SGH02 SGH07;1250;;;;;;;;;;;;;
LIQUIDE;ETHYLE FORMIATE;FORMIATE D'ETHYLE;800;mL;3;SGH02 SGH07;800;;;;;;;;;;;;;
LIQUIDE;ETHYLENEGLYCOL;GLYCOL;2000;mL;3;SGH07 SGH08;2000;;;;;;;;;;;;;
SOLIDE;FER 98%;FER - FE;1400;g;5 LP;SGH02;1400;;;;;;;;;;;;;
SOLIDE;FER EN FIL;FER - FE;60;g;7;SGH02;60;;;;;;;;;;;;;
SOLIDE;FER EN LIMAILLES;FER - FE;20;g;5 LP;SGH02;20;;;;;;;;;;;;;
SOLIDE;FER II CHLORURE;CHLORURE DE FER (II) - FECL2;800;g;5 LP;SGH05 SGH07;800;;;;;;;;;;;;;
SOLIDE;FER II CHLORURE;CHLORURE DE FER (II) - FECL2;300;g;7;SGH05 SGH07;300;;;;;;;;;;;;;
SOLIDE;fer II sans bouchon;;0;g;;SGH07;;;;urgent;;;;;;;;;;
SOLIDE;FER II SULFATE HEPTAHYDRATÉ;SULFATE DE FER (II) HEPTAHYDRATÉ - FESO4·7H2O;150;g;5 LP;SGH07;150;;;;;;;;;;;;;
